"genres","avg_revenue","avg_rating","movie_count"
"Adventure",21483371.4008916,3.93995254493536,11906
"Action",10211499.3120246,3.66711168088929,25546
"Fantasy",8862821.32597382,3.16778359846414,14584
"Science Fiction",8450302.87649158,3.18475517761617,14582
"Family",7047349.54583237,3.66838789621826,16342
"War",5196485.55152671,3.62196159351146,4192
"Thriller",3754908.75607659,3.58109345678602,32293
"Crime",3683787.69037478,3.55741637031768,16872
"Western",3034033.17735332,3.05800204638472,1466
"Mystery",3027708.80818383,3.36379198357162,13148
"Animation",2587767.95615243,2.23164688811025,34802
"Comedy",2456244.61133059,3.28265731903388,79628
"History",2444741.93124297,3.54533855927859,9759
"Romance",2108144.21773457,3.47607097075298,32140
"Drama",1294779.81662269,2.97406117346788,133195
"Horror",1103656.96234996,2.50288046918184,39814
"Music",465491.940642872,2.71897721969428,34284
"Documentary",27303.1889031922,2.1475758642922,124090
"TV Movie",16762.6641087146,4.31749240607513,12510
