"original_language","avg_revenue","avg_rating","movie_count"
"en",1421034.56197352,1.9981072646362,368938
"fr",179601.338138771,2.54652582359714,39886
"es",86044.1304922415,2.26665180022573,36301
"ja",288290.352973214,1.63129353911331,33045
"de",60000.7751750743,2.08277432197064,28133
"pt",83363.1085877466,1.71015866461672,22765
"zh",1472786.5256524,1.43364181312498,16899
"ru",234401.123931967,1.54544470664827,12289
"it",103462.113024673,2.71901670272609,11555
"ko",609791.974898035,2.46417278527346,9561
"nl",37711.1328337879,2.23629478882829,5872
"cs",6394.69991492983,1.26320416843896,4702
"sv",83888.6244725716,2.24690783921828,4503
"hi",1309687.63219715,3.53246499309072,4342
"ar",65289.8643667301,1.97215004725897,4232
"tr",134458.317972346,2.49700230414751,3906
"tl",23531.7523982366,1.89467721026708,3857
"xx",2.50874125874136,1.04235897435897,3432
"id",6604.91829155063,2.03170783039306,3231
"da",78230.0408230994,2.67627348157983,3013
"pl",145019.274705671,2.40232001427042,2803
"ta",380032.359753891,3.52285233441911,2763
"fa",165348.010740316,1.97059493670888,2607
"ml",162290.862008733,3.54483056768558,2290
"th",92275.819819818,2.76683738738741,2220
"bn",15794.1572212064,2.02744972577696,2188
"el",481.474883720936,1.93319860465118,2150
"no",86637.2813299239,2.19094271099745,1955
"te",852244.096976012,3.548685088634,1918
"cn",1206160.19181033,3.13322575431034,1856
"hu",3969.57787810381,2.08627313769753,1772
"fi",37867.1341463415,2.86041753774681,1722
"he",1189464.59638905,2.5472562609202,1717
"uk",18360.6912470024,1.37755695443645,1668
"sr",218672.059336825,1.93770244328097,1146
"ms",35057.3821292774,1.74712357414448,1052
"lv",1.03519668737059,0.984284679089025,966
"kn",291856.036158193,2.59381129943503,885
"ro",8206.61041902602,3.63069082672707,883
"hr",2234.74907292955,1.92484301606922,809
"ca",5344.96831432199,1.95472623574145,789
"is",5295.03553299486,1.45639847715736,788
"sk",3931.64237516869,1.15914979757085,741
"sl",56.3309455587389,1.51456733524355,698
"et",4059.96069868995,1.69453711790393,687
"vi",109998.950450451,2.18068768768769,666
"mr",45891.1296296298,2.28519598765431,648
"lt",4177.68481848187,1.8903498349835,606
"pa",97626.4726027396,3.22070205479453,584
"kk",0,0.597962068965518,580
"bg",2575.66253101736,2.50536228287841,403
"ur",331252.233421751,4.89424668435013,377
"ku",1357.58073654391,3.34894900849859,353
"ka",3774.153125,1.56209375,320
"bs",3.13479623824452,1.69639184952978,319
"az",2464.67197452229,0.869700636942676,314
"mk",3645.4501607717,1.16666881028939,311
"mn",2930.90909090909,0.850836363636364,275
"sq",0.0074349442379182,2.30545353159851,269
"ne",39878.0227272728,2.37367424242424,264
"hy",2285.54385964912,1.16359649122807,228
"eu",491.256637168143,1.76880530973451,226
"or",0,0.411981566820277,217
"gl",51837.8260869567,1.9673768115942,207
"af",9626.19211822663,3.87466009852217,203
"my",0.019704433497537,0.590640394088668,203
"gu",15946.9797979798,2.37062121212121,198
"nb",22012.582010582,1.72279894179894,189
"si",22824.8587570622,2.97890960451978,177
"am",4315.22289156626,1.13501807228916,166
"km",7878.78787878789,1.13524242424243,165
"jv",4.39041095890411,1.7367602739726,146
"as",0,1.38103731343284,134
"uz",10.3092783505155,1.35842268041237,97
"ga",18493.5473684211,1.54092631578947,95
"ky",0,1.7277032967033,91
"be",14827.1604938272,1.9537037037037,81
"sw",8573.05000000001,2.1276875,80
"bo",0,2.15754794520548,73
"se",0,0.669811320754717,53
"mg",0,0.659183673469388,49
"ht",2083.33333333333,1.04583333333333,48
"ps",0,3.87346666666667,45
"cy",227.219512195122,1.45717073170732,41
"lo",0,1.5425,40
"ab",6.84615384615385,1.81558974358974,39
"qu",0,1.71176470588235,34
"iu",114751.545454545,2.53939393939394,33
"lb",0,2.44533333333333,33
"zu",621.545454545455,3.23566666666667,33
"wo",0,2.009375,32
"dv",1167,0.0333333333333333,30
"dz",4000,1.65413333333333,30
"so",0,1.3827,30
"gd",0,0.979310344827586,29
"mt",0,1.35,29
"gn",0,1.49259259259259,27
"yi",0,0.827592592592592,27
"la",93864.5384615384,2.26607692307692,26
"tg",0,1.39423076923077,26
"yo",0,1.95153846153846,26
"mi",209.6,2.16176,25
"fo",0,2.39565217391304,23
"tk",0,0.239130434782609,23
"ha",0,2.14,20
"kl",0,1.99155,20
"nn",0,2.58333333333333,18
"ak",0,2.70882352941176,17
"bm",19153.2352941176,3.04964705882353,17
"rw",10705.8823529412,2.42417647058824,17
"sh",0,2.12352941176471,17
"st",0,1.22917647058824,17
"mo",0,1.70625,16
"eo",0,5.72142857142857,14
"xh",10975.6923076923,5.27453846153846,13
"ks",0,2.33333333333333,12
"sm",0,2.13636363636364,11
"ug",0,2.09090909090909,11
"cr",0,0.75,10
"fy",0,2.2,10
"sa",0,0.75,10
"tt",0,1.7,10
"ti",0,0,9
"ba",0,0.9375,8
"ig",0,3.75,8
"kw",0,1,8
"lg",250,0,8
"ln",0,3.2625,8
"rm",0,3.075,8
"sn",0,0.8375,8
"ce",0,0,7
"ff",0,4.28571428571429,7
"mh",0,0.757142857142857,7
"sg",0,0.285714285714286,7
"to",0,0,7
"su",0,1.13333333333333,6
"ay",0,2.86,5
"bi",0,1.96,5
"ny",0,1.4,5
"tw",0,1.1,5
"li",0,1.625,4
"oc",0,2,4
"sc",0,3.83325,4
"ss",0,0,4
"tn",2469992.75,1.73325,4
"ia",0,3.33333333333333,3
"nv",0,2.06666666666667,3
"om",0,2.26666666666667,3
"ch",0,0,2
"co",0,2.65,2
"fj",0,0,2
"ie",0,4,2
"ki",0,0,2
"nd",0,3.5,2
"oj",0,0,2
"aa",0,0,1
"gv",0,0,1
"hz",0,0,1
"ik",0,5.3,1
"kg",0,0,1
"kv",0,0,1
"os",0,5,1
"rn",0,0,1
"sd",0,0,1
"ts",0,0,1
"ty",0,9,1
"za",0,0,1
