"title","release_year","vote_average","vote_count","revenue","popularity"
"Prison High Pressure",2019,9.2,210,0,297.563
"BTS World Tour: Love Yourself - Japan Edition",2019,9.172,306,0,4.892
"Break the Silence: The Movie",2020,9.154,175,8954945,7.198
"BTS Permission to Dance On Stage - Seoul: Live Viewing",2022,9.018,113,32600000,6.877
"Franco Escamilla: por la anécdota",2018,9,118,0,7.013
"BTS: Permission to Dance on Stage - LA",2022,8.993,148,0,11.48
"The Three Deaths of Marisela Escobedo",2020,8.904,215,0,8.083
"Metallica & San Francisco Symphony: S&M2",2019,8.759,110,0,6.698
"Chivas: The Movie",2018,8.655,113,0,5.148
"BLACKPINK: Arena Tour 2018 'Special Final in Kyocera Dome Osaka'",2019,8.652,141,0,4.811
