"title","release_year","revenue","budget","profit","vote_average","popularity"
"Adventures in Bora Bora",2023,3e+09,8e+08,2.2e+09,0,0
"TikTok Rizz Party",2024,3e+09,2.5e+08,2.75e+09,10,0
"Avatar",2009,2923706026,2.37e+08,2686706026,7.573,79.932
"Avengers: Endgame",2019,2.8e+09,3.56e+08,2.444e+09,8.263,91.756
"Avatar: The Way of Water",2022,2320250281,4.6e+08,1860250281,7.654,241.285
"Star Wars: The Force Awakens",2015,2068223624,2.45e+08,1823223624,7.293,66.772
"Avengers: Infinity War",2018,2052415039,3e+08,1752415039,8.255,154.34
"Best Of Joy",2024,2e+09,1000,1999999000,0,0
"Spider-Man: No Way Home",2021,1921847111,2e+08,1721847111,7.99,186.065
"Jurassic World",2015,1671537444,1.5e+08,1521537444,6.682,54.089
